name,gender,attribute,id
Aalart,der,diktatorisch,
Aalef,der,brutal,
Aalot,der,mörderisch,
Abantes,der,triebhaft,
Abarrotz,der,erschröcklich,
Abas,der,grausam,
Abascantus,der,unnachsichtig,
Abbo,der,libidinös,
Abdalonymus,der,lüstern,
Abderos,der,ungehalten,
Abelard,der,schaudererregend,
Aberardus,der,abscheuerregend,
Aberkios,der,barbarisch,
Aberri,der,tätlich,
Abimilki,der,heillos,
Abisme,der,fanatisch,
Ablabius,der,ruppig,
Ablerus,der,schrecklich,
Abramius,der,schreckenerregend,
Abreas,der,bestialisch,
Abronychus,der,eisenfest,
Absolon,der,unsentimental,
Abundanitus,der,beklemmend,
Abydos,der,ungut,
Acaeus,der,schauderhaft,
Acamus,der,angsterregend,
Acelin,der,ausschweifend,
Acessamenus,der,herrisch,
Acestes,der,beträchtlich,
Achard,der,schwer,
Achart,der,barsch,
Achestan,der,widersprüchlich,
Achila,der,entschieden,
Achololim,der,unhöflich,
Acindynus,der,handgreiflich,
Aclepiades,der,schwer,
Acot,der,unbeherrscht,
Acrisias,der,schreckenerregend,
Acrisius,der,gravierend,
Acroneos,der,krude,
Actor,der,krude,
Acun,der,fühllos,
Acur,der,grausig,
Adalbero,der,massiv,
Adalbert,der,unfreundlich,
Adalbrecht,der,libidinös,
Adaldag,der,peinigend,
Adalfuns,der,tätlich,
Adalhard,der,rüpelhaft,
Adaloald,der,misslich,
Adame,der,gewalttätig,
Adei,der,unbeherrscht,
Adeimanthos,der,beklemmend,
Adelard,der,kompakt,
Adelardus,der,ungerecht,
Adelchis,der,ungeschliffen,
Adelphius,der,schreckbar,
Adelredus,der,erzürnt,
Adelroth,der,schäbig,
Adelstan,der,unliebenswürdig,
Adeluin,der,dornenvoll,
Adelulf,der,schlimm,
Adenot,der,abweisend,
Aderlard,der,gewaltig,
Adestan,der,rabiat,
Adhémar,der,höllisch,
Adlard,der,gesinnt,
Admago,der,gestählt,
Admetos,der,animalisch,
Adon,der,peinigend,
Adranus,der,skandalös,
Adrastos,der,eng,
Adrastus,der,schröcklich,
Adred,der,schaudervoll,
Adrestus,der,intensiv,
Adri,der,verwerflich,
Adrianus,der,steinern,
Adrien,der,blutdürstig,
Adso,der,seelenlos,
Adstan,der,herrisch,
Adur,der,beunruhigend,
Aeaces,der,derb,
Aeduin,der,entsetzenerregend,
Aeduuard,der,frech,
Aeduuin,der,gemütsarm,
Aega,der,empfindlich,
Aegaeon,der,bissig,
Aegelmaer,der,labil,
Aegicoros,der,außerordentlich,
Aegidius,der,frigide,
Aegisthes,der,schauderhaft,
Aegon,der,tyrannisch,
Aeilmar,der,höllisch,
Aeimnestos,der,qualvoll,
Aeldredus,der,abschreckend,
