name,gender,attribute,id
Eider,die,bedauerlich,
Lehen,der,stumpfsinnig,
Alditha,die,ungerecht,
Theodananda,die,bedrohend,
Avina,die,stumpfsinnig,
Yulene,die,radikal,
Johannes,der,schauerlich,
Amopaon,der,abgründig,
Peronel,die,leidvoll,
Jakelin,der,derb,
Labinia,die,verdammt,
Megathenes,der,krude,
Walaric,der,entschieden,
Havisa,die,beängstigend,
Cnivida,der,harsch,
Randull,der,ärgerlich,
Raynoldus,der,roh,
Gavinus,der,herzlos,
Cilla,die,unerhört,
Esme,der,ungesittet,
Eryx,der,unliebsam,
Tello,der,unbeeindruckt,
Pasion,der,viehisch,
Sevestre,der,herrisch,
Aunflis,die,scharf,
Engenouf,der,schaurig,
Ludoldus,der,tyrannisch,
Floouen,der,unlieb,
Baraxil,der,ungesittet,
Cattle,die,diktatorisch,
Meryld,die,bitterlich,
Anter,der,verärgert,
Gautier,der,zornig,
Aldieth,die,gravierend,
Linniue,die,widrig,
Dorathea,die,entschieden,
Hamett,der,herb,
Lefuuinus,der,verärgert,
Leuuine,der,dumpf,
Popelina,die,unerhört,
Andolin,der,unfreundlich,
Deloys,die,unlieb,
Imgelramus,der,animalisch,
Aeschreas,der,streng,
Phoenix,der,gefühllos,
Ansprand,der,hundekalt,
Fouque,der,kalt,
Paganel,der,aggressiv,
Geoff,der,grell,
Florencius,der,temperamentlos,
Wilmot,die,kompakt,
Amfelice,die,unbeeindruckt,
Deianeira,die,abschreckend,
Ermbourg,die,gefühllos,
Pidytes,der,derb,
Willibald,der,reserviert,
Hermenfred,der,blutig,
Geraldo,der,gehörig,
Sybil,die,gefühlsarm,
Goiatz,die,bewusstlos,
Hedewigis,die,rüpelhaft,
Jocey,die,hartherzig,
Placencia,die,labil,
Lycophron,der,massiv,
Pylaemenes,der,kummervoll,
Betune,die,furchterregend,
Tybaut,der,unzivilisiert,
Houdart,der,erbarmungslos,
Penthesilea,die,dornig,
Moschion,der,traurig,
Goizane,die,schwer,
Ansfroi,der,ordentlich,
Evenon,der,traurig,
Bergundis,die,herzlos,
Zernin,der,bestialisch,
Ametz,der,hundekalt,
Lyulf,der,gewaltsam,
Artor,der,misanthropisch,
Laodocus,der,unangenehm,
Florencia,die,heftig,
Arridaios,der,hässlich,
Prothoenor,der,schlagend,
Jourdain,der,widrig,
Aeditha,die,ausschweifend,
Esquiva,die,menschenfeindlich,
Philinna,die,diktatorisch,
Thyia,die,soldatisch,
Abelota,die,aggressiv,
Zufiaurre,die,gleichgültig,
Ankerita,die,bitterlich,
Arnet,der,gruselig,
Sigberta,die,quälend,
Plesantia,die,schauderhaft,
Filisia,die,ungerecht,
Vincent,der,gewalttätig,
Zerran,die,dornig,
Bittori,die,unheimlich,
Theopropides,der,tierisch,
Fillida,die,entschlossen,
Posidonios,der,ungerührt,
Guiot,der,ungerecht,
Amanieu,der,schauerlich,
Oswold,der,entsetzenerregend,
Wandregisilus,der,unmanierlich,
Ino,die,unnachgiebig,
Plesance,die,peinigend,
Peryna,die,missmutig,
Jurfaret,der,gemütlos,
Wander,die,gespenstisch,
Aritzeta,die,fürchterlich,
Rémy,der,verletzend,
Irakusne,die,gravierend,
Panora,die,primitiv,
Antaeus,der,graus,
Kenweard,der,sinnenfroh,
Duze,die,ungehalten,
Meus,der,ätzend,
Litburh,die,grauslich,
Brienus,der,ungeheuer,
Iristain,die,ungeschliffen,
Patriz,der,entsetzlich,
Leitus,der,unkollegial,
Actë,die,lüstern,
Luzaide,der,skandalös,
Domentzia,die,grell,
Naimes,der,despotisch,
Laico,der,bitterkalt,
Aratus,der,stumpf,
Koob,der,leidenschaftslos,
Maisie,die,despotisch,
Uschi,die,leidenschaftslos,
Musonius,der,bissig,
Sissota,die,unmenschlich,
Itxaso,die,eingeschlafen,
Alberic,der,empört,
Damasos,der,gefühlsarm,
Bardol,der,frech,
Edburga,die,albtraumhaft,
Odierna,die,autoritär,
Sifridus,der,bejammernswert,
Sawnie,der,verstimmt,
Baudkin,der,gefühlskalt,
Ngakaukawa,der,soldatisch,
